CLUSTER,TOPIC / SUB-TOPIC,2016,2021,2024,2025,TOTAL HITS,REPEAT PATTERN,PRIORITY,UKPSC-SPECIFIC NOTES
,,,,,,,,,
Cluster J: Biology & Health,Human body systems,✓,✓,✓,✓,7,Regular,🟡 MEDIUM,"Digestive/Circulatory/Nervous — function-based"
Cluster J: Biology & Health,Diseases — causes/prevention,✓,✓,✓,✓,,,,"Viral vs Bacterial vs Deficiency classification"
Cluster J: Biology & Health,Genetics — DNA/RNA/heredity,✗,✓,✓,✓,,,,Mendel's laws + chromosome basics
Cluster J: Biology & Health,Nutrition — vitamins/minerals,✓,✓,✓,✓,,,,"Sources + deficiency diseases — factual recall"
Cluster J: Biology & Health,Ecology & Environment,✓,✓,✓,✓,,,,"Biomes / food chains / ecological succession"
Cluster J: Biology & Health,Plant biology,✓,✓,✗,✓,,,,Photosynthesis / transpiration / plant hormones

,,,,,,,,,
Cluster K: Technology & Space,ISRO missions — satellites/launches,✓,✓,✓,✓,6,Growing trend,🔴 HIGH,"Chandrayaan / Mangalyaan / Gaganyaan details"
Cluster K: Technology & Space,Defence tech — missiles/systems,✓,✓,✓,✓,,,,Agni/Prithvi/BrahMos — range + type
Cluster K: Technology & Space,IT & Digital India initiatives,✗,✓,✓,✓,,,,"UPI / Aadhaar / DigiLocker"
Cluster K: Technology & Space,Biotechnology applications,✗,✓,✓,✓,,,,GMO / Bt crops / DNA fingerprinting
Cluster K: Technology & Space,Nanotechnology & emerging tech,✗,✗,✓,✓,,,,AI / blockchain basics — newer trend
,,,,,,,,,
Cluster L: Environment,National Parks & Sanctuaries (national),✓,✓,✓,✓,7,Regular,🔴 HIGH,"Project Tiger / Project Elephant + reserve counts"
Cluster L: Environment,Climate Change — protocols,✓,✓,✓,✓,,,,"Kyoto / Paris / COP — India's NDC + targets"
Cluster L: Environment,Pollution — types/control/legislation,✓,✓,✓,✓,,,,"Water Act 1974 / Air Act 1981 / EPA 1986"
Cluster L: Environment,Biodiversity — hotspots/endemic species,✓,✓,✓,✗,,,,"4 hotspots in India + IUCN Red List categories"
Cluster L: Environment,Environmental legislation & bodies,✓,✓,✓,✓,,,,"NGT / CPCB / SPCB / Forest Rights Act"
Cluster L: Environment,Sustainable Development & SDGs,✗,✓,✓,✓,,,,17 SDGs + India's progress
Cluster L: Environment,Wetlands & Ramsar Convention,✗,✓,✓,✓,,,,Updated Ramsar sites count + UK sites

,,,,,,,,,
Cluster M: National Current Affairs,Government schemes — flagship,✗,✓,✓,✓,8,Depends on year,🔴 HIGH,"PM-KISAN / Ayushman Bharat / Swachh Bharat"
Cluster M: National Current Affairs,Awards — Padma/Sports,✓,✓,✓,✓,,,,"Bharat Ratna + Dronacharya/Arjuna + recent recipients"
Cluster M: National Current Affairs,International summits/orgs,✓,✓,✓,✓,,,,"G20 / BRICS / SCO / QUAD — India's role"
Cluster M: National Current Affairs,Sports events & achievements,✓,✓,✓,✓,,,,"Olympics / CWG / Asian Games — recent performances"
Cluster M: National Current Affairs,Important reports & indices,✗,✓,✓,✓,,,,"Ease of Doing Business / HDI / Global indices"
Cluster M: National Current Affairs,Defence & Security,✗,✓,✓,✓,,,,New systems + exercises + partnerships
Cluster M: National Current Affairs,Science achievements,✗,✓,✓,✓,,,,Nobel prizes + Indian breakthroughs
Cluster M: National Current Affairs,Constitutional/Legal developments,✗,✓,✓,✓,,,,"Recent SC judgments / new laws"
,,,,,,,,,
Cluster N: CSAT (Paper II),Reading Comprehension,✓,✓,✓,✓,6,Standard,🟡 MEDIUM,"Qualifying paper (33%) — moderate difficulty"
Cluster N: CSAT (Paper II),Logical Reasoning,✓,✓,✓,✓,,,,"Blood relations / coding-decoding / direction"
Cluster N: CSAT (Paper II),Quantitative Aptitude,✓,✓,✓,✓,,,,"Percentage / Ratio / Time-Work — no advanced maths"
Cluster N: CSAT (Paper II),Data Interpretation,✓,✓,✓,✓,,,,"Bar/Pie/Line graphs — 4-5 Qs in a set"
Cluster N: CSAT (Paper II),Decision Making,✗,✓,✓,✓,,,,Administrative scenario-based
Cluster N: CSAT (Paper II),Basic numeracy & mental ability,✓,✓,✓,✓,,,,Number series / pattern recognition
,,,,,,,,,
— KEY INSIGHTS —,,,,,,,,,
,"This tracker covers ~65% of UKPSC Prelims paper",,,,,,,,
,"UKPSC national Qs are LESS analytical than UPSC — more factual/direct",,,,,,,,
,"Statement-based format dominates: 'Which is/are correct?'",,,,,,,,
,"2-3 Qs per paper recycled directly from previous UPSC papers",,,,,,,,
,"Current Affairs window: last 12-18 months before paper date",,,,,,,,
,"CSAT qualifying (33%) — don't ignore but don't over-invest",,,,,,,,
,"Remaining ~35% covered in UTTARAKHAND tracker",,,,,,,,
