QNo,Subject,Topic,Question,OptA,OptB,OptC,OptD,Answer,Posted,
140,UK GK,Culture,Who has written the state song of Uttarakhand?,Hem Rawat,Hemant Rawat,Hemant Rana,Hemant Bisht,D) Hemant Bisht,,
141,UK GK,Culture,What is the duration of the Uttarakhand State song?,58 seconds,5 minutes,7 minutes,9 minutes,D) 9 minutes,,
142,UK GK,Polity,Which committee has been formed by the state government to decide the permanent Capital of Uttarakhand?,Banerjee Committee,Ashok Mehta Committee,Pant Committee,Dikshit Committee,D) Dikshit Committee,,
143,UK GK,Flora,What is the appropriate time for the flowering of Buransh?,May-July,July-June,August-October,February-April,D) February-April,,
144,UK GK,Flora,Which god is worshipped with the flowers of Brahma Kamal?,Brahma,Vishnu,Shiv,Krishna,C) Shiv,,
145,UK GK,Geography,Uttarakhand makes up how much percentage of the country's total area?,2.69,1.69,3.69,4.22,B) 1.69,,
146,UK GK,Geography,How much percentage area of the state comes under hilly region?,86.07%,88.07%,89.07%,80.07%,A) 86.07%,,
147,UK GK,Geography,What is the length of the border of Uttarakhand with China?,350 km,450 km,335 km,275 km,A) 350 km,,
148,UK GK,Geography,Only district to have borders with two countries?,Uttarkashi,Chamoli,Pithoragarh,Udham Singh Nagar,C) Pithoragarh,,
149,UK GK,Geography,District having longest International border?,Uttarkashi,Chamoli,Pithoragarh,Udham Singh Nagar,C) Pithoragarh,,
150,UK GK,Geography,How many mandals are there in Uttarakhand?,5,10,3,2,D) 2,,
151,UK GK,Census,In what order of the Indian states was Uttarakhand created?,24th,28th,22nd,27th,D) 27th,,
152,UK GK,Census,What was the rank of Uttarakhand with respect to sex-ratio in India?,13th,17th,25th,20th,A) 13th,,
153,UK GK,Census,Which of the following districts has lowest literacy rate per 2011 census?,Tehri Garhwal,Pauri Garhwal,Chamoli,Udhamsingh Nagar,D) Udhamsingh Nagar,,
154,UK GK,Census,What is the sex ratio of Uttarakhand?,940,953,963,972,C) 963,,
155,UK GK,Census,Which district has the highest population in Uttarakhand?,Dehradun,Chamoli,Uttarkashi,Haridwar,D) Haridwar,,
156,UK GK,Census,District having lowest literacy rate in Uttarakhand is?,Dehradun,Chamoli,Pauri,US Nagar,D) US Nagar,,
157,UK GK,Census,Which district has the highest sex ratio in Uttarakhand?,Chamoli,Pauri,Uttarkashi,Almora,D) Almora,,
158,UK GK,Census,Which district had the highest decadal growth rate for 2001-11?,Dehradun,Chamoli,Pauri,US Nagar,D) US Nagar,,
159,UK GK,Census,Which two districts recorded negative decadal growth rate for 2001-11?,Bageshwar and Champawat,Almora and Pauri Garhwal,Pauri Garhwal and Nainital,US Nagar and Almora,B) Almora and Pauri Garhwal,,
160,UK GK,Census,Which district has the least population in Uttarakhand?,Rudraprayag,Bageshwar,Uttarkashi,Champawat,A) Rudraprayag,,
161,UK GK,Census,District having highest population density is?,Haridwar,Chamoli,Dehradun,U.S. Nagar,A) Haridwar,,
162,UK GK,Census,District having lowest male literacy rate in Uttarakhand is?,Bageshwar,US Nagar,Haridwar,Uttarkashi,C) Haridwar,,
163,UK GK,Census,District having lowest population density is?,Champawat,Chamoli,Uttarkashi,U.S. Nagar,C) Uttarkashi,,
164,UK GK,Census,Average literacy percentage in Uttarakhand is?,78.82,70.70,68.90,81.20,A) 78.82,,
165,UK GK,Census,Female literacy percentage in Uttarakhand is?,76.80,70.00,68.90,81.20,B) 70.00,,
166,UK GK,Census,What is the total population of Uttarakhand?,100-86-292,100-66-292,100-76-792,100-96-292,A) 100-86-292,,
167,UK GK,Census,How much percentage of India's total population resides in Uttarakhand?,0.73,0.83,0.93,1.13,B) 0.83,,
168,UK GK,Census,Most urbanized district of Uttarakhand is?,Dehradun,Haridwar,Pauri,Nainital,A) Dehradun,,
169,UK GK,Census,Least urbanized district of Uttarakhand is?,Rudraprayag,Haridwar,Bageshwar,Champawat,C) Bageshwar,,
170,UK GK,Tourist Places,The place famous as Bardoli of Garhwal is?,Dugadda,Guzadu,Dhorin,Sitonsiyum,B) Guzadu,,
171,UK GK,Tourist Places,On which river banks the famous Garjiya temple is situated?,Nayar River,Kosi River,Tons River,Pindari River,B) Kosi River,,
172,UK GK,Tourist Places,Which place is known as Mini Kashmir?,Kausani,Ranikhet,Mussoorie,Pithoragarh,D) Pithoragarh,,
173,UK GK,Tourist Places,Which place is referred to as Soar Valley?,Pithoragarh,Dehradun,Patli Dun,Har ki Dun,A) Pithoragarh,,
174,UK GK,Tourist Places,Which place is known as the Dwarka of Himalaya?,Dwarahat,Gangolihat,Didihaat,Ranikhet,A) Dwarahat,,
175,UK GK,Tourist Places,From which place does Kedarnath Yatra begin?,Homkund,Macchkund,Gaurikund,Joshimath,C) Gaurikund,,
176,UK GK,Tourist Places,Which place is known as Khajuraho of Kumaon?,Almora,Dwarahat,Kashipur,Shitlakhet,B) Dwarahat,,
177,UK GK,Tourist Places,Which place is known as the entry gate of Corbett?,Ramnagar,Kaladhungi,Dhikala,Patli Dun,A) Ramnagar,,
178,UK GK,Tourist Places,Which place is known as the Switzerland of India by Gandhiji?,Kausani,Ranikhet,Mussoorie,Pithoragarh,A) Kausani,,
179,UK GK,Tourist Places,Which place is known as Mini Switzerland?,Chopta,Kausani,Harshil,Mussoorie,A) Chopta,,
180,UK GK,Religious Places,Guptkashi is located in which district?,Uttarkashi,Varanasi,Chamoli,Rudraprayag,D) Rudraprayag,,
181,UK GK,Religious Places,Mana Village is located in which district?,Chamoli,Uttarkashi,Rudraprayag,Pithoragarh,A) Chamoli,,
182,UK GK,Religious Places,In which district is the Badrinath Temple located?,Uttarkashi,Chamoli,Pauri,Tehri,B) Chamoli,,
183,UK GK,Religious Places,In which district is Kedarnath located?,Rudraprayag,Uttarkashi,Chamoli,Tehri,A) Rudraprayag,,
184,UK GK,Religious Places,Nanakmatta Sahib Gurudwara is located in which district?,Udham Singh Nagar,Dehradun,Champawat,Haridwar,A) Udham Singh Nagar,,
185,UK GK,Religious Places,Which is the highest temple amongst the Panch Kedars?,Kedarnath,Rudranath,Kalpeshwar Mahadev,Tungnath,D) Tungnath,,
186,UK GK,Religious Places,Sonprayag is at the confluence of?,Mandakini and Basuki,Mandakini and Rishi Ganga,Alaknanda and Basuki,Alaknanda and Rishi Ganga,A) Mandakini and Basuki,,
187,UK GK,Religious Places,Vishnuprayag is at the confluence of Alaknanda and which river?,Vishnu Ganga,Dhauli Ganga,Pindar,Mandakini,B) Dhauli Ganga,,
188,UK GK,Geography,What is the latitudinal extent of Uttarakhand?,23°43 to 33°27 N,21°43 to 30°27 N,28°43 to 31°27 N,26°43 to 30°27 N,C) 28°43 to 31°27 N,,
189,UK GK,Geography,What is the longitudinal extent of Uttarakhand?,77°34 to 81°02 E,70°34 to 85°34 E,81°34 to 75°34 E,68°43 to 77°43 E,A) 77°34 to 81°02 E,,
190,UK GK,Geography,What is the total area (in sqkm) of Uttarakhand?,58458,58453,53963,53483,D) 53483,,
191,UK GK,Geography,How many districts of the state do not share any border with other states or countries?,4,3,5,2,A) 4,,
