QNo,Subject,Topic,Question,OptA,OptB,OptC,OptD,Answer,Posted
13,UK History,Parmar Dynasty,Pahari chitrakala shaili ke court painters kaun the?,Ram Das & Shiv Das,Shyam Das & Hardas,Kalyan Das & Mohan Das,Govind & Baldev,B) Shyam Das & Hardas,
14,UK History,Chand Dynasty,Chand vansh ki pratham rajdhani kahan thi?,Almora,Pithoragarh,Champawat,Nainital,C) Champawat,
15,UK History,Chand Dynasty,Chand vansh ka rajya chinh kya tha?,Sher,Hathi,Gau (Cow),Mor,C) Gau (Cow),
16,UK History,Chand Dynasty,Almora mein rajdhani kisne sthapit ki?,Bhishm Chand,Baz Bahadur Chand,Balo Kalyan Chand,Udyot Chand,C) Balo Kalyan Chand,
17,UK History,Chand Dynasty,Chand vansh ka antim shasak kaun tha?,Gyan Chand,Baz Bahadur Chand,Mahendra Chand,Kalyan Chand,C) Mahendra Chand,
18,UK History,Chand Dynasty,Chand vansh ka ant kisne kiya?,British,Mughals,Gorkha,Parmar,C) Gorkha,
19,UK History,Gorkha/British,Sugauli ki Sandhi kab hui?,1813,1815,1817,1820,B) 1815,
20,UK History,Gorkha/British,Garhwal ka antim yuddh kahan hua?,Haridwar,Khurdmudi (Dehradun),Almora,Srinagar,B) Khurdmudi (Dehradun),
21,UK History,Gorkha/British,Tehri Riyasat ki sthapana kisne ki?,Pradyuman Shah,Sudarshan Shah,Prithvipati Shah,Fateh Shah,B) Sudarshan Shah,
22,UK History,Movements,Chipko Andolan kab shuru hua?,1970,1973,1975,1980,B) 1973,
23,UK History,Movements,Chipko Andolan mein Reni gaon ki mahila kaun thi?,Sundarlal Bahuguna,Medha Patkar,Gaura Devi,Bachni Devi,C) Gaura Devi,
24,UK History,Movements,Maiti Andolan ke sansthapak kaun hain?,Sundarlal Bahuguna,Chandi Prasad Bhatt,Kalyan Singh Rawat,Sachidanand Bharti,C) Kalyan Singh Rawat,
25,UK History,Movements,Doodhatoli Andolan kisse sambandhit hai?,Chipko,Vriksha Ropan (Afforestation),Anti-Dam,Anti-Alcohol,B) Vriksha Ropan (Afforestation),
26,UK History,Movements,Doodhatoli Andolan ke sansthapak kaun hain?,Kalyan Singh Rawat,Sachidanand Bharti,Sundarlal Bahuguna,Gaura Devi,B) Sachidanand Bharti,
27,UK History,Movements,Coolie-Begar Andolan (1921) ka neta kaun tha?,Govind Ballabh Pant,Badri Dutt Pandey,Hari Prasad Tamta,Mohan Joshi,B) Badri Dutt Pandey,
28,UK History,Movements,Uttarakhand Rajya Andolan mein Muzaffarnagar Kand kab hua?,1992,1993,1994,1995,C) 1994,
29,UK History,Movements,Tehri Bandh Virodhi Andolan ka neta kaun tha?,Gaura Devi,Sachidanand Bharti,Sundarlal Bahuguna,Kalyan Singh Rawat,C) Sundarlal Bahuguna,
30,UK History,Statehood,Uttarakhand rajya ka gathan kab hua?,9 Nov 1998,9 Nov 2000,26 Jan 2000,15 Aug 2000,B) 9 Nov 2000,
31,UK History,Statehood,Uttarakhand ka pehla mukhyamantri kaun tha?,ND Tiwari,BC Khanduri,Nityanand Swami,Bhagat Singh Koshyari,C) Nityanand Swami,
32,UK History,Statehood,Uttarakhand ke pehle rajyapal kaun the?,KM Seth,Surjit Singh Barnala,Aziz Qureshi,BL Joshi,B) Surjit Singh Barnala,
33,UK History,Statehood,Uttaranchal se Uttarakhand naam kab badla gaya?,2005,2006,2007,2008,C) 2007,
34,UK History,Inscriptions,Kalsi Abhilekh kis samrat se sambandhit hai?,Chandragupta,Ashoka,Harsha,Kanishka,B) Ashoka,
35,UK History,Inscriptions,Kalsi Abhilekh kis jile mein hai?,Haridwar,Dehradun,Pauri,Tehri,B) Dehradun,
36,UK History,Inscriptions,Gopeshwar Abhilekh kis era se sambandhit hai?,Mughal,British,Katyuri,Chand,C) Katyuri,
37,UK History,Inscriptions,Taleshwar Tamrapatra kis vansh se sambandhit hai?,Parmar,Chand,Katyuri,Kuninda,C) Katyuri,
38,UK Geography,Glaciers,Uttarakhand ka sabse bada glacier kaun sa hai?,Pindari,Milam,Gangotri,Satopanth,C) Gangotri,
39,UK Geography,Glaciers,Gangotri glacier se kaun si nadi nikalti hai?,Alaknanda,Bhagirathi,Mandakini,Yamuna,B) Bhagirathi,
40,UK Geography,Glaciers,Satopanth glacier se kaun si nadi nikalti hai?,Bhagirathi,Mandakini,Alaknanda,Gori Ganga,C) Alaknanda,
41,UK Geography,Glaciers,Pindari glacier se kaun si nadi nikalti hai?,Alaknanda,Pindar,Bhagirathi,Kali,B) Pindar,
42,UK Geography,Glaciers,Milam glacier kis jile mein hai?,Chamoli,Uttarkashi,Pithoragarh,Bageshwar,C) Pithoragarh,
43,UK Geography,Glaciers,Chorabari glacier kis mandir ke paas hai?,Badrinath,Kedarnath,Gangotri,Yamunotri,B) Kedarnath,
44,UK Geography,Rivers,Devprayag mein kaun si do nadiyaan milti hain?,Alaknanda + Mandakini,Bhagirathi + Alaknanda,Bhagirathi + Mandakini,Alaknanda + Pindar,B) Bhagirathi + Alaknanda,
45,UK Geography,Rivers,Rudraprayag mein kaun si nadiyaan milti hain?,Alaknanda + Bhagirathi,Alaknanda + Mandakini,Alaknanda + Pindar,Alaknanda + Nandakini,B) Alaknanda + Mandakini,
46,UK Geography,Rivers,Karnaprayag mein kaun si nadiyaan milti hain?,Alaknanda + Mandakini,Alaknanda + Dhauliganga,Alaknanda + Pindar,Alaknanda + Nandakini,C) Alaknanda + Pindar,
47,UK Geography,Rivers,Panch Prayag ka sahi kram (upstream se downstream) kya hai?,Vi-Na-Ka-Ru-De,De-Ru-Ka-Na-Vi,Na-Vi-Ka-Ru-De,Vi-Ka-Na-Ru-De,A) Vi-Na-Ka-Ru-De,
48,UK Geography,Rivers,Kali Nadi Uttarakhand ki kis desh ke saath seema banati hai?,China,Nepal,Tibet,Myanmar,B) Nepal,
49,UK Geography,Rivers,Tons Nadi kis nadi ki sahayak hai?,Ganga,Bhagirathi,Yamuna,Alaknanda,C) Yamuna,
50,UK Geography,Passes,Lipulekh Pass kis jile mein hai?,Chamoli,Uttarkashi,Pithoragarh,Almora,C) Pithoragarh,

51,UK Geography,Passes,Mana Pass kis jile mein hai?,Uttarkashi,Chamoli,Pithoragarh,Rudraprayag,B) Chamoli,
52,UK Geography,Passes,Kailash Mansarovar Yatra kis pass se hoti hai?,Mana,Niti,Lipulekh,Traill's,C) Lipulekh,
53,UK Geography,Lakes,Uttarakhand ki sabse gehri jheel kaun si hai?,Bhimtal,Nainital,Naukuchiatal,Sattal,C) Naukuchiatal,
54,UK Geography,Lakes,Roopkund kis jile mein hai?,Uttarkashi,Chamoli,Bageshwar,Pithoragarh,B) Chamoli,
55,UK Geography,Lakes,Asan Conservation Reserve kis jile mein hai?,Haridwar,Dehradun,Pauri,Tehri,B) Dehradun,
56,UK Geography,Lakes,Uttarakhand ka pehla Ramsar Site kaun sa hai?,Nainital Lake,Bhimtal,Asan Conservation Reserve,Dodital,C) Asan Conservation Reserve,
57,UK Geography,Physiography,Shiwalik aur Lesser Himalaya ke beech ki valley ko kya kehte hain?,Tarai,Bhabhar,Doon,Bugyal,C) Doon,
58,UK Geography,Physiography,Bhabhar kshetra ki visheshta kya hai?,Marshy land,Nadiyaan underground ho jaati hain,Dense forest,Alpine meadows,B) Nadiyaan underground ho jaati hain,
59,UK Geography,Physiography,Uttarakhand mein physiographic zones ka sahi kram (North to South)?,Himadri-Himachal-Shiwalik-Doon-Bhabhar-Tarai,Shiwalik-Himachal-Himadri-Doon-Tarai-Bhabhar,Tarai-Bhabhar-Doon-Shiwalik-Himachal-Himadri,Himadri-Shiwalik-Himachal-Doon-Tarai-Bhabhar,A) Himadri-Himachal-Shiwalik-Doon-Bhabhar-Tarai,
60,UK Culture,Tribes,Uttarakhand ki sabse chhoti janjati kaun si hai?,Bhotiya,Tharu,Buksa,Raji,D) Raji,
61,UK Culture,Tribes,Jaunsari janjati kis jile mein paayi jaati hai?,Pithoragarh,Dehradun,Almora,Nainital,B) Dehradun,
62,UK Culture,Tribes,Tharu janjati kis kshetra mein rehti hai?,Pahadi,Tarai,Bhabhar,Doon,B) Tarai,
63,UK Culture,Tribes,Uttarakhand mein PVTG (ati kamzor janjati) kaun si hain?,Bhotiya aur Jaunsari,Raji aur Buksa,Tharu aur Bhotiya,Jaunsari aur Tharu,B) Raji aur Buksa,
64,UK Culture,Tribes,Polyandry pratha kis janjati mein paayi jaati hai?,Bhotiya,Tharu,Jaunsari,Buksa,C) Jaunsari,
65,UK Culture,Dance,Langvir Nritya kis kshetra ka hai?,Kumaon,Garhwal,Jaunsar,Tarai,B) Garhwal,
66,UK Culture,Dance,Choliya Nritya kis kshetra ka hai?,Garhwal,Kumaon,Jaunsar,Both,B) Kumaon,
67,UK Culture,Fairs,Nanda Devi Raj Jat Yatra kitne saalon mein hoti hai?,5,8,10,12,D) 12,
68,UK Culture,Art,Aipan kala kis kshetra ki hai?,Garhwal,Kumaon,Jaunsar,Both,B) Kumaon,
69,UK Culture,Religious Sites,Tungnath mandir ki visheshta kya hai?,Sabse purana Shiv mandir,Duniya ka sabse uncha Shiv mandir,Sabse bada Shiv mandir,Char Dham mein se ek,B) Duniya ka sabse uncha Shiv mandir,
70,UK Culture,Religious Sites,Panch Kedar mein shamil NAHI hai?,Kedarnath,Tungnath,Badrinath,Rudranath,C) Badrinath,
71,UK Governance,State Symbols,Uttarakhand ka rajya pakshi kaun sa hai?,Monal,Mor,Kalij,Kokila,A) Monal,
72,UK Governance,State Symbols,Uttarakhand ka rajya pashu kaun sa hai?,Barasingha,Snow Leopard,Kasturi Mrig (Musk Deer),Himalayan Bear,C) Kasturi Mrig (Musk Deer),
73,UK Governance,State Symbols,Uttarakhand ka rajya pushp kaun sa hai?,Burans,Brahma Kamal,Lotus,Orchid,B) Brahma Kamal,
74,UK Governance,State Symbols,Uttarakhand ka rajya vriksh kaun sa hai?,Deodar,Chir,Burans,Sal,C) Burans,
75,UK Governance,Assembly,Uttarakhand Vidhan Sabha mein kitni seaten hain?,60,65,70,75,C) 70,
76,UK Economy,Dams,Bharat ka sabse uncha bandh kaun sa hai?,Bhakra Nangal,Hirakud,Tehri,Sardar Sarovar,C) Tehri,
77,UK Economy,Dams,Tehri Dam kis nadi par hai?,Alaknanda,Yamuna,Bhagirathi,Ganga,C) Bhagirathi,
78,UK Economy,Dams,Tehri Dam kis jile mein hai?,Uttarkashi,Dehradun,Tehri Garhwal,Pauri,C) Tehri Garhwal,
79,UK Economy,Industry,SIDCUL ka full form kya hai?,State Industrial Development Corporation of Uttarakhand Ltd,State Infrastructure & Industrial Dev Corp of UK Ltd,State Institute of Development & Commerce UK Ltd,State Industrial & Development Council UK Ltd,B) State Infrastructure & Industrial Dev Corp of UK Ltd,
80,UK Economy,Industry,Pantnagar industrial area kis jile mein hai?,Nainital,Haridwar,Udham Singh Nagar,Dehradun,C) Udham Singh Nagar,
81,UK Economy,Crops,Dehradun kis fasal ke liye prasiddh hai?,Wheat,Basmati Rice,Mandua,Tea,B) Basmati Rice,
82,UK Economy,Minerals,Uttarakhand mein Magnesite kahan paya jaata hai?,Dehradun,Almora/Pithoragarh,Haridwar,Tehri,B) Almora/Pithoragarh,
83,UK Geography,Wildlife,Corbett National Park kab sthaapit hua?,1930,1936,1940,1945,B) 1936,
84,UK Geography,Wildlife,Govind Wildlife Sanctuary kab sthaapit hui?,1950,1955,1960,1965,B) 1955,
85,UK Geography,Wildlife,Govind National Park kab sthaapit hua?,1980,1985,1989,1992,C) 1989,
86,UK Geography,Wildlife,Kedarnath Wildlife Sanctuary kis janwar ke liye hai?,Tiger,Snow Leopard,Musk Deer,Elephant,C) Musk Deer,
87,UK Geography,Wildlife,Valley of Flowers NP kis jile mein hai?,Uttarkashi,Chamoli,Pithoragarh,Rudraprayag,B) Chamoli,
88,UK Geography,Wildlife,Rajaji National Park kis jile/jilon mein hai?,Sirf Dehradun,Dehradun-Haridwar-Pauri,Sirf Haridwar,Nainital-Pauri,B) Dehradun-Haridwar-Pauri,
89,UK Geography,District Data,Uttarakhand ka sabse adhik jansankhya wala jila?,Dehradun,Nainital,Haridwar,USN,C) Haridwar,
90,UK Geography,District Data,Uttarakhand ka sabse kam jansankhya wala jila?,Champawat,Bageshwar,Rudraprayag,Uttarkashi,C) Rudraprayag,
91,UK Geography,District Data,Sabse adhik sex ratio kis jile ka hai?,Pauri,Almora,Tehri,Rudraprayag,B) Almora,
92,UK Geography,District Data,Sabse kam sex ratio kis jile ka hai?,Dehradun,USN,Haridwar,Nainital,C) Haridwar,
93,UK Geography,District Data,Kshetrafal mein sabse bada jila kaun sa hai?,Uttarkashi,Pithoragarh,Chamoli,Pauri,C) Chamoli,
94,UK Geography,District Data,Kshetrafal mein sabse chhota jila kaun sa hai?,Bageshwar,Rudraprayag,Champawat,Almora,C) Champawat,
95,UK Geography,District Data,Sabse kam jansankhya ghantva (density) kis jile ki hai?,Chamoli,Pithoragarh,Uttarkashi,Rudraprayag,C) Uttarkashi,
96,UK Geography,District Data,Negative jansankhya vriddhi wala jila kaun sa hai?,Chamoli,Tehri,Almora,Uttarkashi,C) Almora,
97,UK Geography,District Data,Sabse adhik forest cover percentage kis jile ki hai?,Pauri,Chamoli,Nainital,Uttarkashi,C) Nainital,
98,UK Geography,District Data,Sabse kam female literacy kis jile ki hai?,Haridwar,Tehri,USN (Udham Singh Nagar),Champawat,C) USN (Udham Singh Nagar),
99,UK Literature,Writers,Sumitranandan Pant ka janm sthan kahan hai?,Almora,Kausani (Bageshwar),Nainital,Pithoragarh,B) Kausani (Bageshwar),
100,UK Literature,Freedom Fighters,Kumaon Kesari ki upaadhi kise di gayi?,GB Pant,Badri Dutt Pandey,Hari Prasad Tamta,Mohan Joshi,B) Badri Dutt Pandey,
