Phase 5: REVISION MARATHON,Day 50,,UK Mega-Revision Day 2,Clusters 8-10 (Movements/CA/Literature),Gap-fill: weak UK topics,One-page UK revision sheet,UK full paper — timed,
Phase 5: REVISION MARATHON,Day 51,,History Mega-Revision,Ancient India (dates/rulers/achievements),Medieval India (Sultanate/Mughal/Maratha),Modern India (Freedom struggle chronology),History quick-fire,
Phase 5: REVISION MARATHON,Day 52,,Polity Mega-Revision,Articles (FR/DPSP/FD) — number recall,Amendments + Schedules + Bodies,Parliament + Judiciary + Centre-State,Polity quick-fire,
Phase 5: REVISION MARATHON,Day 53,,Geo + Economy Mega-Revision,Physical Geo (rivers/soils) — map-based,Economy (banking/deficits/schemes),Trade/tax + Census/minerals,Geo + Eco quick-fire,
Phase 5: REVISION MARATHON,Day 54,,Science + Env Mega-Revision,Physics/Chemistry + Biology diseases,ISRO + Defence + IT/Digital,Environment (acts/parks/climate/Ramsar),Sci + Env quick-fire,
Phase 5: REVISION MARATHON,Day 55,,Current Affairs Final Push,Last 6 months — national + international,Last 6 months — Uttarakhand specific,Awards + Sports + Reports + Rankings,CA quiz,
Phase 5: REVISION MARATHON,Day 56,,⭐ FULL MOCK TEST 1,150-Q mock (UK + National + CSAT),Strict 2-hour time limit,"Analysis: mistakes / timing / weak areas",Score + analysis,
Phase 5: REVISION MARATHON,Day 57,,⭐ FULL MOCK TEST 2 + Gap-fill,Another complete mock,Analysis + targeted revision,Final gap-fill on repeat topics,Compare with Mock 1,

Phase 6: EXAM READY,Day 58,,Light Revision Only,One-page UK sheet — read through,One-page National sheet — read through,Formulae + articles + dates ONLY,NO new study — recall only,
Phase 6: EXAM READY,Day 59,,Rest + Logistics,Light reading only (30 min max — own notes),"Check centre / documents / stationery",Sleep by 10 PM — full rest,NO PYQs / NO mocks,
Phase 6: EXAM READY,Day 60,,🎯 EXAM DAY,Reach centre 1 hour early,Stay calm — trust your preparation,Execute: UK first → strong subjects next,YOU'VE GOT THIS ✓,
,,,,,,,,,
— STRATEGY NOTES —,,,,,,,,
,"Built FROM actual PYQ weightage data — not generic advice",,,,,,,,
,"UK topics = 16 days (27%) → delivers 33%+ marks — highest ROI",,,,,,,,
,"Polity gets more time → highest question volume nationally",,,,,,,,
,"Current Affairs window: last 12-18 months from paper date",,,,,,,,
,"CSAT qualifying (33%) — cover basics / don't over-invest",,,,,,,,
,"Mock target: 85+ out of 150 = safe zone most years",,,,,,,,
,"Negative marking: -1/3 — only attempt if you eliminate 2+ options",,,,,,,,
,"Attempt order on exam day: UK GK first (fastest marks) → Polity → History → Economy → Science",,,,,,,,
